,Volume,vw,Open,Close,High,Low,t,n
964,11926.0,443.1393,443.16,443.1501,443.17,443.11,1688578740000,256.0
965,40152.0,443.1318,443.16,443.105,443.17,443.105,1688578800000,494.0
966,27665.0,443.1315,443.11,443.14,443.16,443.1,1688578860000,370.0
967,35718.0,443.1457,443.15,443.16,443.165,443.12,1688578920000,385.0
968,70969.0,443.2034,443.165,443.165,443.23,443.1617,1688578980000,696.0
969,32090.0,443.1604,443.155,443.1623,443.18,443.1399,1688579040000,428.0
970,25442.0,443.1665,443.16,443.19,443.205,443.135,1688579100000,415.0
971,26818.0,443.2213,443.19,443.255,443.26,443.185,1688579160000,393.0
972,39811.0,443.2427,443.251,443.23,443.265,443.22,1688579220000,501.0
973,42908.0,443.2519,443.23,443.3,443.305,443.22,1688579280000,478.0
974,54142.0,443.3248,443.305,443.33,443.35,443.295,1688579340000,502.0
975,287654.0,443.9425,443.34,443.295,443.34,443.27,1688579400000,421.0
976,36315.0,443.2647,443.29,443.31,443.31,443.24,1688579460000,412.0
977,110948.0,443.3321,443.3,443.3436,443.36,443.3,1688579520000,832.0
978,36404.0,443.317,443.34,443.305,443.34,443.3,1688579580000,499.0
979,20326.0,443.293,443.31,443.28,443.31,443.275,1688579640000,296.0
980,42750.0,443.316,443.275,443.33,443.35,443.27,1688579700000,449.0
981,53031.0,443.2853,443.33,443.2196,443.35,443.2196,1688579760000,605.0
982,37198.0,443.2319,443.22,443.255,443.255,443.2,1688579820000,387.0
983,33544.0,443.2383,443.25,443.26,443.26,443.22,1688579880000,324.0
984,59034.0,443.2921,443.255,443.2801,443.33,443.255,1688579940000,594.0
985,114544.0,443.3771,443.2999,443.4482,443.5,443.23,1688580000000,1268.0
986,101039.0,443.4679,443.44,443.465,443.605,443.34,1688580060000,1062.0
987,142503.0,443.294,443.47,443.27,443.475,443.22,1688580120000,1424.0
988,171308.0,443.2883,443.27,443.295,443.37,443.16,1688580180000,1551.0
989,70180.0,443.3141,443.315,443.26,443.4399,443.2501,1688580240000,755.0
990,123120.0,443.1592,443.26,443.2001,443.2839,443.08,1688580300000,1285.0
991,96241.0,443.2347,443.21,443.17,443.29,443.16,1688580360000,918.0
992,124983.0,443.2745,443.17,443.33,443.33,443.165,1688580420000,1293.0
993,117071.0,443.43,443.3372,443.48,443.49,443.33,1688580480000,1045.0
994,119590.0,443.3956,443.47,443.35,443.5,443.3,1688580540000,1160.0
995,78120.0,443.3064,443.36,443.2793,443.38,443.25,1688580600000,926.0
996,96826.0,443.2864,443.27,443.28,443.3467,443.24,1688580660000,893.0
997,82803.0,443.2769,443.29,443.265,443.315,443.2401,1688580720000,688.0
998,116260.0,443.267,443.27,443.315,443.32,443.24,1688580780000,1253.0
999,60212.0,443.2789,443.315,443.21,443.32,443.2,1688580840000,634.0
1000,430431.0,442.9368,443.21,442.8,443.21,442.74,1688580900000,3811.0
1001,477802.0,443.4002,442.79,442.75,442.83,442.53,1688580960000,1923.0
1002,115528.0,442.8033,442.74,442.8681,442.92,442.69,1688581020000,1103.0
1003,52099.0,442.8536,442.8684,442.785,442.8899,442.7849,1688581080000,595.0
1004,104405.0,442.9697,442.78,442.6593,442.78,442.65,1688581140000,802.0
1005,97626.0,442.643,442.66,442.68,442.6973,442.5731,1688581200000,1031.0
1006,108397.0,442.5866,442.682,442.58,442.685,442.52,1688581260000,1052.0
1007,218341.0,442.4047,442.57,442.48,442.57,442.31,1688581320000,2129.0
1008,91111.0,442.4827,442.46,442.5385,442.56,442.4192,1688581380000,882.0
1009,162727.0,442.471,442.54,442.47,442.54,442.37,1688581440000,1360.0
1010,121098.0,442.5639,442.432,442.66,442.675,442.41,1688581500000,1116.0
1011,104639.0,442.6985,442.67,442.7784,442.78,442.61,1688581560000,1061.0
1012,103645.0,442.7645,442.78,442.82,442.82,442.695,1688581620000,902.0
1013,83023.0,442.7751,442.815,442.795,442.8195,442.73,1688581680000,754.0
1014,51090.0,442.7701,442.8,442.72,442.82,442.71,1688581740000,530.0
1015,127530.0,442.8332,442.72,442.84,442.9,442.715,1688581800000,1064.0
1016,112037.0,442.8361,442.83,442.89,442.9,442.79,1688581860000,763.0
1017,63219.0,442.8284,442.88,442.84,442.89,442.8,1688581920000,695.0
1018,29292.0,442.8422,442.84,442.81,442.879,442.81,1688581980000,402.0
1019,65149.0,442.7883,442.81,442.89,442.89,442.74,1688582040000,662.0
1020,25721.0,442.852,442.87,442.875,442.8781,442.825,1688582100000,366.0
1021,107277.0,442.8494,442.865,442.9506,442.97,442.7501,1688582160000,920.0
1022,143942.0,443.0431,442.945,443.06,443.135,442.9305,1688582220000,1157.0
1023,79171.0,443.0637,443.05,443.08,443.11,443.03,1688582280000,660.0
1024,145337.0,443.1256,443.08,443.13,443.18,443.07,1688582340000,941.0
1025,137095.0,443.1879,443.15,443.16,443.2599,443.12,1688582400000,1223.0
1026,77811.0,443.1813,443.155,443.2297,443.23,443.14,1688582460000,804.0
1027,95868.0,443.2705,443.24,443.225,443.33,443.19,1688582520000,868.0
1028,30946.0,443.2262,443.22,443.22,443.255,443.205,1688582580000,402.0
1029,46393.0,443.2791,443.232,443.2878,443.33,443.23,1688582640000,535.0
1030,120777.0,443.3342,443.275,443.37,443.4,443.26,1688582700000,952.0
1031,341304.0,443.8633,443.37,443.4,443.425,443.34,1688582760000,842.0
1032,91704.0,443.3775,443.409,443.405,443.45,443.32,1688582820000,779.0
1033,68956.0,443.4073,443.405,443.375,443.44,443.36,1688582880000,672.0
1034,53917.0,443.4092,443.38,443.4,443.43,443.38,1688582940000,540.0
